AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10
West Somerset,E07000191,0.318343173,0.318042277,0.312296889,0.331420561,0.346419644,0.32030638,0.317781011,0.320888575,0.337046088,0.350692605
Cannock Chase,E07000192,0.279505159,0.299744606,0.280907917,0.261693357,0.262815301,0.284363904,0.296371767,0.27948076,0.265967288,0.267992355
East Staffordshire,E07000193,0.23982672,0.235351252,0.245999319,0.230605157,0.233107107,0.240415621,0.233504852,0.242449595,0.227277664,0.247138555
Lichfield,E07000194,0.306795281,0.304459154,0.320083509,0.317841211,0.342490907,0.307932692,0.30429121,0.309345954,0.335723549,0.342166268
Newcastle-under-Lyme,E07000195,0.230453209,0.233764309,0.227366037,0.219844068,0.232842805,0.232587538,0.227439131,0.227320863,0.224637005,0.225046752
South Staffordshire,E07000196,0.348657769,0.356644006,0.367578441,0.335582294,0.35225832,0.347358382,0.355570592,0.370506893,0.34669407,0.35216643
Stafford,E07000197,0.355140934,0.36516969,0.366671615,0.354711055,0.364599912,0.362228382,0.36677527,0.365751303,0.360892605,0.373537098
Staffordshire Moorlands,E07000198,0.335544617,0.316821696,0.302581339,0.296604425,0.318218435,0.337292915,0.31398211,0.303450201,0.314531613,0.322403771
Tamworth,E07000199,0.288908877,0.280197379,0.268907781,0.27922568,0.287299197,0.282842402,0.273692225,0.273049399,0.279296594,0.285112132
Babergh,E07000200,0.259211961,0.264318369,0.265885669,0.257170731,0.245000526,0.261395449,0.265765022,0.261345912,0.254066775,0.272998949
Forest Heath,E07000201,0.268176488,0.273124472,0.269862083,0.270485333,0.254374007,0.269016766,0.267758901,0.269640689,0.263540268,0.245954856
Ipswich,E07000202,0.295898497,0.284768509,0.27490372,0.259636465,0.254452316,0.286484655,0.276432861,0.268160555,0.257205397,0.247886085
Mid Suffolk,E07000203,0.263783769,0.263792233,0.265308925,0.244002593,0.243457471,0.267003374,0.261555347,0.251658037,0.23832195,0.242704116
St Edmundsbury,E07000204,0.215918271,0.205014163,0.189241768,0.184975227,0.172061302,0.213629991,0.204832958,0.187494881,0.18078528,0.174315991
